ekatte,t_v_m,name,oblast,obstina,kmetstvo,kind,category,altitude,document,tsb,abc
22650,с.,Долно Кобиле,KNL,KNL50,KNL50-00,3,8,7,1901,SW,1575
22664,с.,Долно Козарево,TGV,TGV22,TGV22-47,3,7,5,1901,NE,1576
22678,с.,Долно Къпиново,KRZ,KRZ14,KRZ14-11,3,7,5,1901,S,1577
22695,с.,Долно Линево,MON,MON24,MON24-10,3,7,2,1901,NW,1578
22705,с.,Долно Луково,HKV,HKV11,HKV11-05,3,8,2,1901,S,1579
22719,с.,Долно Новково,TGV,TGV22,TGV22-48,3,7,5,1901,NE,1580
22722,с.,Долно ново село,SFO,SFO16,SFO16-00,3,8,6,1901,SW,1581
22736,с.,Долно ново село,SZR,SZR04,SZR04-00,3,8,5,1901,SE,1582
22747,с.,Долно Озирово,MON,MON12,MON12-04,3,6,4,1901,NW,1583
22753,с.,Долно Осеново,BLG,BLG44,BLG44-03,3,5,7,1901,SW,1584
22770,с.,Долно поле,HKV,HKV30,HKV30-09,3,8,4,1901,S,1585
22784,с.,Долно Прахово,KRZ,KRZ02,KRZ02-08,3,8,6,1901,S,1586
22798,с.,Долно Ряхово,SLS,SLS07,SLS07-24,3,7,2,1901,N,1587
22808,с.,Долно Сахране,SZR,SZR24,SZR24-06,3,5,5,1901,SE,1588
22811,с.,Долно село,KNL,KNL29,KNL29-00,3,8,7,1901,SW,1589
22842,с.,Долно Спанчево,BLG,BLG33,BLG33-11,3,8,3,1901,SW,1590
22856,с.,Долно Съдиево,HKV,HKV18,HKV18-05,3,8,5,1901,S,1591
22862,с.,Долно Уйно,KNL,KNL29,KNL29-00,3,8,6,1901,SW,1592
22873,с.,Долно Церовене,MON,MON38,MON38-01,3,6,3,1901,NW,1593
22887,с.,Долно Черковище,HKV,HKV30,HKV30-17,3,6,3,1901,S,1594
22890,с.,Долно Шивачево,VTR,VTR14,VTR14-00,3,8,6,1901,N,1595
22914,с.,Долно Ябълково,BGS,BGS06,BGS06-00,3,8,4,1901,SE,1596
22825,с.,Долноселци,HKV,HKV11,HKV11-23,3,8,5,1901,S,1597
22839,с.,Долнослав,PDV,PDV01,PDV01-25,3,7,5,1901,S,1598
22928,с.,Домище,KRZ,KRZ14,KRZ14-12,3,6,5,1901,S,1599
22931,с.,Домлян,PDV,PDV13,PDV13-08,3,7,5,1901,S,1600
22945,с.,Дондуково,MON,MON07,MON07-03,3,7,2,1901,NW,1601
22959,с.,Донино,GAB,GAB05,GAB05-09,3,7,6,1901,N,1602
22962,с.,Донкино,GAB,GAB35,GAB35-04,3,8,6,1901,N,1603
22976,с.,Донковци,VTR,VTR13,VTR13-00,3,8,5,1901,N,1604
22988,с.,Дончево,DOB,DOB15,DOB15-20,3,5,4,1901,NE,1605
22993,с.,Дончовци,GAB,GAB35,GAB35-00,3,8,6,1901,N,1606
23008,с.,Дорково,PAZ,PAZ24,PAZ24-01,3,5,7,1901,S,1607
23011,с.,Доситеево,HKV,HKV33,HKV33-06,3,7,2,1901,S,1608
23025,гр.,Доспат,SML,SML10,SML10-00,1,4,8,1901,S,1609
23039,с.,Доспей,SFO,SFO39,SFO39-09,3,6,7,1901,SW,1610
23042,с.,Доча,GAB,GAB12,GAB12-02,3,8,5,1901,N,1611
23056,с.,Драбишна,HKV,HKV11,HKV11-00,3,8,3,1901,S,1612
23060,с.,Драгана,LOV,LOV36,LOV36-07,3,7,4,1901,NW,1613
23073,с.,Драганица,MON,MON12,MON12-05,3,7,5,1901,NW,1614
23087,с.,Драгановец,TGV,TGV35,TGV35-13,3,6,4,1901,NE,1615
