RSE13,32095,Иваново,4,1896,95
PVN23,55782,Искър,5,1825,96
RAZ14,32874,Исперих,3,1825,97
SFO20,32901,Ихтиман,3,1896,98
DOB17,35064,Каварна,3,1896,99
SZR12,35167,Казанлък,2,1896,100
SLS15,35242,Кайнарджа,5,1878,101
PDV12,35523,Калояново,4,1896,102
BGS08,35883,Камено,4,1896,103
SHU18,36079,Каолиново,4,1825,104
PDV13,36498,Карлово,2,1896,105
BGS09,36525,Карнобат,3,1896,106
SHU19,36587,Каспичан,4,1896,107
KRZ14,36926,Кирково,4,1896,108
PVN39,37376,Кнежа,4,1825,109
PER22,37513,Ковачевци,5,1896,110
VRC20,37798,Козлодуй,2,1825,111
SFO24,38558,Копривщица,4,1825,112
SFO25,38902,Костенец,3,1896,113
SFO26,38978,Костинброд,3,1896,114
SLV11,39030,Котел,3,1896,115
KNL27,39116,Кочериново,4,1896,116
BLG28,14492,Кресна,3,1905,117
VRC21,39846,Криводол,5,1896,118
PDV39,39921,Кричим,4,1825,119
KRZ15,39970,Крумовград,3,1896,120
DOB20,40097,Крушари,4,1896,121
RAZ16,40422,Кубрат,3,1896,122
PDV42,40467,Куклен,4,1896,123
VID22,40525,Кула,4,1896,124
KRZ16,40909,Кърджали,1,1896,125
KNL29,41112,Кюстендил,1,1896,126
PVN16,43236,Левски,3,1825,127
PAZ14,43369,Лесичово,5,1896,128
LOV17,43476,Летница,4,1825,129
LOV18,43952,Ловеч,1,1896,130
RAZ17,44166,Лозница,4,1896,131
MON24,44238,Лом,2,1896,132
LOV19,44327,Луковит,3,1896,133
PDV15,44478,Лъки,4,1896,134
HKV17,44570,Любимец,4,1896,135
VTR20,44793,Лясковец,4,1825,136
SML16,46045,Мадан,3,1896,137
HKV18,46084,Маджарово,4,1896,138
VID25,46245,Макреш,5,1896,139
BGS12,46663,Малко Търново,4,1896,140
PDV17,56784,Марица,3,1825,141
MON26,47593,Медковец,5,1896,142
VRC27,47714,Мездра,3,1896,143
VRC28,48043,Мизия,4,1896,144
HKV19,48297,Минерални бани,5,1896,145
SFO56,48324,Мирково,4,1896,146
KRZ21,48996,Момчилград,3,1896,147
MON29,48489,Монтана,1,1896,148
SZR22,49494,Мъглиж,4,1896,149
KNL31,51216,Невестино,5,1896,150
SML18,51319,Неделино,4,1896,151
BGS15,51500,Несебър,2,1896,152
SHU21,51651,Никола Козлево,5,1896,153
SZR38,51648,Николаево,5,1825,154
PVN21,51723,Никопол,4,1896,155
SLV16,51809,Нова Загора,2,1896,156
SHU22,52009,Нови пазар,3,1896,157
VID30,52180,Ново село,5,1896,158
TGV22,53535,Омуртаг,3,1896,159
TGV23,53552,Опака,4,1825,160
SZR23,53576,Опан,5,1896,161
VRC31,54020,Оряхово,3,1896,162
SZR24,55021,Павел баня,3,1896,163
VTR22,55052,Павликени,3,1896,164
PAZ19,55155,Пазарджик,1,1896,165
PAZ20,55302,Панагюрище,2,1896,166
PER32,55871,Перник,1,1896,167
PDV40,55909,Перущица,5,1825,168
BLG33,56126,Петрич,2,1896,169
PAZ21,56277,Пещера,3,1825,170
SFO55,56407,Пирдоп,3,1825,171
PVN24,56722,Плевен,1,1896,172
PDV22,56784,Пловдив,1,1825,173
VTR26,57354,Полски Тръмбеш,4,1896,174
BGS17,57491,Поморие,2,1896,175
TGV24,57649,Попово,3,1896,176
PVN27,57772,Пордим,5,1896,177
SFO34,58030,Правец,3,1896,178
BGS27,58356,Приморско,3,1896,179
VAR24,58503,Провадия,3,1896,180
PDV23,59080,Първомай,3,1896,181
SZR27,61460,Раднево,2,1896,182
PER36,61577,Радомир,3,1896,183
RAZ26,61710,Разград,1,1896,184
BLG37,61813,Разлог,2,1825,185
PAZ24,62004,Ракитово,4,1825,186
PDV25,62075,Раковски,3,1896,187
KNL38,62671,Рила,4,1896,188
PDV26,56784,Родопи,3,1825,189
VRC32,62997,Роман,4,1896,190
SML27,63207,Рудозем,4,1896,191
BGS18,63224,Руен,4,1896,192
VID33,63255,Ружинци,5,1896,193
RSE27,63427,Русе,1,1896,194
PDV28,65139,Садово,4,1896,195
SFO39,65231,Самоков,2,1896,196
RAZ29,65276,Самуил,5,1825,197
BLG40,65334,Сандански,2,1896,198
KNL41,65365,Сапарева баня,4,1825,199
BLG42,65440,Сатовча,4,1825,200
HKV28,65677,Свиленград,2,1896,201
VTR28,65766,Свищов,2,1896,202
SFO43,65869,Своге,3,1896,203
GAB29,65927,Севлиево,2,1896,204
PAZ29,66264,Септември,3,1825,205
SLS31,66425,Силистра,1,1896,206
HKV29,47278,Симеоновград,4,1896,207
BLG44,66460,Симитли,3,1896,208
SLS32,66665,Ситово,5,1896,209
SLV20,67338,Сливен,1,1896,210
SFO45,67372,Сливница,3,1896,211
RSE33,67444,Сливо поле,4,1825,212
SML31,67653,Смолян,1,1896,213
SHU25,67708,Смядово,4,1896,214
BGS21,67800,Созопол,3,1896,215
PDV43,68080,Сопот,4,1871,216
SOF46,68134,Столична,0,1825,217
BGS06,17974,Средец,3,1896,218
PDV41,51980,Стамболийски,3,1825,219
HKV30,68727,Стамболово,5,1896,220
SZR31,68850,Стара Загора,1,1896,221
VTR31,69633,Стражица,3,1896,222
JAM22,69660,Стралджа,4,1896,223
PAZ32,69835,Стрелча,4,1896,224
BLG49,69969,Струмяни,4,1896,225
VAR26,70175,Суворово,4,1896,226
BGS23,70247,Сунгурларе,3,1896,227
VTR32,70295,Сухиндол,5,1896,228
PDV33,70528,Съединение,4,1896,229
PAZ39,70648,Сърница,4,1862,230
SLV24,72165,Твърдица,4,1896,231
DOB27,72271,Тервел,3,1896,232
LOV33,72343,Тетевен,3,1896,233
HKV32,72761,Тополовград,3,1896,234
KNL50,73047,Трекляно,5,1896,235
LOV34,73198,Троян,2,1827,236
PER51,73273,Трън,3,1896,237
GAB35,73403,Трявна,3,1825,238
JAM25,87374,Тунджа,3,1896,239
SLS34,73496,Тутракан,3,1896,240
TGV35,73626,Търговище,1,1896,241
LOV36,75054,Угърчин,4,1896,242
BLG52,77058,Хаджидимово,4,1896,243
VRC35,77102,Хайредин,5,1896,244
HKV33,77181,Харманли,2,1896,245
HKV34,77195,Хасково,1,1896,246
PDV37,77270,Хисаря,3,1896,247
SHU11,14516,Хитрино,4,1896,248
RAZ36,77308,Цар Калоян,4,1825,249
BGS13,48619,Царево,3,1896,250
RSE37,78361,Ценово,5,1896,251
SFO57,80011,Чавдар,5,1825,252
SFO58,80323,Челопеч,5,1825,253
SML38,80371,Чепеларе,3,1896,254
PVN37,80501,Червен бряг,3,1825,255
KRZ35,81236,Черноочене,5,1896,256
MON36,81390,Чипровци,4,1896,257
SZR36,81414,Чирпан,3,1896,258
VID37,81757,Чупрене,5,1896,259
DOB29,83017,Шабла,3,1896,260
SHU30,83510,Шумен,1,1896,261
LOV38,87014,Ябланица,4,1896,262
MON38,87299,Якимово,5,1825,263
BLG53,87338,Якоруда,4,1825,264
JAM26,87374,Ямбол,1,1825,265
