kmetstvo,name,center,document,category
DOB15-27,Карапелит,36419,2,
DOB15-28,Козлодуйци,37808,2,
DOB15-29,Котленци,39061,1896,
DOB15-31,Лясково,43431,660,
DOB15-32,Ловчанци,43997,2,
DOB15-33,Ломница,44272,660,
DOB15-36,Методиево,47901,1896,
DOB15-38,Овчарово,53210,2,
DOB15-39,Одринци,53432,1896,
DOB15-40,Одърци,53450,2,
DOB15-41,Опанец,53597,1896,
DOB15-43,Паскалево,55511,2,
DOB15-44,Плачидол,56695,2,
DOB15-45,Подслон,57087,660,
DOB15-46,Полковник Свещарово,57279,1896,
DOB15-49,Пчелино,58880,1896,
DOB15-51,Полковник Минково,59402,1896,
DOB15-52,Росеново,63063,1896,
DOB15-53,Свобода,65824,1896,
DOB15-54,Славеево,66946,1896,
DOB15-55,Смолница,67622,2,
DOB15-57,Стефан Караджа,69198,1896,
DOB15-58,Стефаново,69242,2,
DOB15-59,Стожер,69300,2,
DOB15-60,Сливенци,70812,1896,
DOB15-61,Тянево,73818,1896,
DOB15-62,Фелтфебел Денково,76064,2,
DOB15-63,Хитово,77284,1896,
DOB15-64,Царевец,78152,660,
DOB15-65,Черна,80769,2,
DOB17-01,Белгун,03318,2,
DOB17-04,Българево,07257,2,
DOB17-05,Видно,11003,1896,
DOB17-06,Вранино,12173,1896,
DOB17-12,Раковски,62092,1896,
DOB17-13,Свети Никола,65543,1896,
DOB17-14,Селце,66113,1896,
DOB17-15,Септемврийци,66281,2,
DOB17-16,Топола,72693,1896,
DOB20-01,Абрит,00031,1896,
DOB20-03,Бистрец,04193,660,
DOB20-04,Габер,14043,1896,
DOB20-05,Добрин,21470,1896,
DOB20-06,Ефрейтор Бакалово,27656,660,
DOB20-07,Загорци,30185,1896,
DOB20-08,Капитан Димитрово,36138,1896,
DOB20-09,Коритен,38618,660,
DOB20-10,Лозенец,44104,2,
DOB20-11,Полковник Дяково,57234,660,
DOB20-13,Северняк,65906,1896,
DOB20-14,Северци,65913,660,
DOB20-15,Телериг,72196,2,
DOB27-01,Ангеларий,00432,1896,
DOB27-02,Балик,02405,2,
DOB27-03,Безмер,03215,2,
DOB27-04,Божан,04916,2,
DOB27-05,Бонево,05342,2,
DOB27-07,Главанци,14982,2,
DOB27-08,Градница,17590,2,
DOB27-09,Гуслар,18191,2,
DOB27-10,Жегларци,29035,2,
DOB27-11,Зърнево,31396,2,
DOB27-12,Каблешково,35050,1896,
DOB27-13,Кладенци,37157,1896,
DOB27-14,Коларци,38025,2,
DOB27-15,Кочмар,39127,1896,
DOB27-17,Нова Камена,51812,2,
DOB27-19,Орляк,53953,2,
DOB27-20,Полковник Савово,57265,2,
DOB27-21,Попгруево,57563,2,
DOB27-22,Сърнец,70617,1896,
DOB27-23,Честименско,81270,2,
DOB29-02,Ваклино,10032,1896,
DOB29-05,Граничар,17782,1896,
DOB29-06,Дуранкулак,24102,2,
DOB29-09,Крапeц,39493,1896,
GAB05-04,Враниловци,12168,1896,
GAB05-05,Гергини,14814,1907,
GAB05-07,Гъбене,18215,1907,
GAB05-09,Донино,22959,1896,
GAB05-10,Драгановци,23159,2,
GAB05-12,Жълтеш,29547,1907,
GAB05-21,Музга,49299,1896,
GAB05-22,Новаковци,51843,1896,
GAB05-23,Поповци,57675,2,
GAB05-27,Чарково,81904,1907,
GAB05-28,Яворец,87120,2,
GAB12-02,Царева ливада,12677,2,
GAB12-03,Ганчовец,14458,1896,
GAB12-04,Гостилица,17350,1896,
GAB12-10,Радовци,61529,1896,
GAB29-01,Агатово,00103,2,
GAB29-02,Батошево,02885,2,
GAB29-03,Бериево,03914,1896,
GAB29-05,Богатово,04555,2,
GAB29-07,Горна Росица,16376,2,
GAB29-08,Градище,17542,1896,
GAB29-09,Градница,17587,2,
GAB29-10,Дамяново,20119,2,
GAB29-11,Добромирка,21628,2,
GAB29-12,Душево,24178,2,
GAB29-13,Идилево,32336,1896,
GAB29-15,Кормянско,38652,2,
GAB29-16,Крамолин,39431,2,
GAB29-17,Крушево,40141,2,
GAB29-18,Кръвеник,40275,1896,
GAB29-19,Ловнидол,43966,1896,
GAB29-20,Малки Вършец,46509,1896,
GAB29-21,Младен,48670,1896,
GAB29-23,Петко Славейков,56037,2,
GAB29-24,Ряховците,63673,2,
GAB29-25,Сенник,66216,2,
GAB29-26,Стоките,69417,1896,
GAB29-27,Столът,69451,1896,
GAB29-31,Хирево,77253,1896,
GAB29-32,Шумата,83497,2,
GAB29-33,Буря,07082,1896,
GAB35-04,Плачковци,56719,2,
HKV09-01,Бодрово,04844,1896,
HKV09-02,Брод,06547,2,
HKV09-03,Бряст,06762,1896,
HKV09-05,Воден,11644,1896,
HKV09-06,Голямо Асеново,15792,1896,
HKV09-07,Горски извор,17141,2,
HKV09-08,Длъгнево,21258,1896,
HKV09-09,Добрич,21539,2,
HKV09-10,Долно Белево,22561,1896,
HKV09-11,Здравец,30658,1896,
HKV09-12,Златополе,31156,2,
HKV09-13,Каснаково,36573,2,
HKV09-14,Крепост,39668,2,
HKV09-15,Крум,39966,2,
HKV09-16,Малко Асеново,46543,1896,
HKV09-17,Меричлери,47843,2,
HKV09-18,Радиево,61368,2,
HKV09-21,Скобелево,66831,2,
HKV09-22,Сталево,68669,2,
HKV09-23,Странско,69691,2,
HKV09-24,Върбица,76087,1896,
HKV09-25,Черногорово,81092,2,
HKV09-26,Ябълково,87076,2,
HKV11-01,Белополци,03681,660,
HKV11-02,Белополяне,03695,1896,
HKV11-04,Гугутка,18054,1896,
HKV11-05,Долно Луково,22705,1896,
HKV11-07,Железино,29101,1896,
HKV11-09,Кобилино,37410,1896,
HKV11-10,Кондово,38248,1896,
HKV11-11,Конници,38317,1896,
HKV11-15,Плевун,55748,1896,
HKV11-16,Планинец,56633,1896,
HKV11-19,Розино,62935,1896,
HKV11-20,Свирачи,65704,2,
HKV11-21,Славеево,66932,1896,
HKV11-23,Черни рид,80995,1896,
HKV11-24,Бялградец,07733,1896,
HKV11-25,Пъстроок,59197,1896,
HKV17-01,Белица,03544,1896,
HKV17-02,Вълче поле,12560,1896,
HKV17-03,Георги Добрево,14787,1896,
HKV17-04,Йерусалимово,34014,1896,
HKV17-05,Лозен,44077,2,
HKV17-06,Малко градище,46574,2,
HKV17-07,Оряхово,54033,1896,
HKV18-01,Бориславци,05503,1896,
HKV18-02,Горни Главанак,16496,1896,
HKV18-04,Долни Главанак,22375,1896,
HKV18-05,Долно Съдиево,22856,660,
HKV18-07,Златоустово,31173,1896,
HKV18-09,Ръженово,63584,1896,
HKV18-10,Селска поляна,66086,1896,
HKV18-12,Тополово,72792,1896,
HKV18-13,Румелия,63313,1896,
HKV19-01,Ангел войвода,00446,2,
HKV19-02,Боян Ботево,05983,2,
HKV19-03,Брястово,06803,1896,
HKV19-04,Винево,11106,2,
HKV19-05,Караманци,36325,2,
HKV19-06,Колец,38042,1896,
HKV19-07,Сираково,66634,1896,
HKV19-08,Спахиево,68237,1896,
HKV19-09,Сусам,70250,2,
HKV19-10,Сърница,70651,2,
HKV19-11,Татарево,72103,2,
HKV28-01,Генералово,14708,1896,
HKV28-02,Димитровче,21078,1896,
HKV28-03,Капитан Андреево,36110,2,
HKV28-04,Левка,43205,2,
HKV28-05,Михалич,65677,1896,
HKV28-06,Младиново,48698,1896,
HKV28-07,Момково,48979,2,
HKV28-08,Мустрак,49446,1896,
HKV28-09,Пъстрогор,59183,1896,
HKV28-10,Райкова могила,61844,1896,
HKV28-11,Сива река,66370,1896,
HKV28-12,Сладун,67146,1896,
HKV28-13,Студена,70055,2,
HKV28-14,Чернодъб,81116,1896,
HKV28-16,Мезек,47737,1896,
HKV29-01,Дряново,23964,1896,
HKV29-02,Калугерово,35599,1896,
HKV29-03,Константиново,38368,1896,
HKV29-04,Навъсен,51010,1896,
HKV29-06,Свирково,65721,2,
HKV29-07,Троян,73208,1896,
HKV29-08,Тянево,73821,1896,
HKV30-03,Воденци,11692,660,
HKV30-04,Войводенец,11822,1896,
HKV30-06,Голобрадово,15610,1896,
HKV30-09,Долно поле,22770,1896,
HKV30-11,Жълти бряг,29550,2,
HKV30-12,Балкан,02436,395,
HKV30-13,Бял кладенец,07781,395,
HKV30-14,Гледка,15093,395,
HKV30-15,Голям извор,15775,395,
HKV30-16,Долно Ботево,22575,395,
HKV30-17,Долно черковище,22887,395,
HKV30-18,Зимовина,30908,395,
